Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -29982.757   -29990.612        7.855   316.5
0.0010       -29982.829   -29991.260        8.431   339.7
0.0020       -29982.818   -29992.186        9.368   377.5
0.0030       -29982.791   -29993.533       10.742   432.8
0.0040       -29982.913   -29995.528       12.615   508.3
0.0050       -29982.918   -29996.606       13.688   551.5
0.0060       -29982.820   -29996.618       13.797   555.9
0.0070       -29982.774   -29996.908       14.134   569.5
0.0080       -29982.777   -29998.270       15.493   624.3
0.0090       -29982.860   -30000.524       17.663   711.7
0.0100       -29982.836   -30002.531       19.696   793.6
0.0110       -29982.740   -30004.610       21.870   881.2
0.0120       -29982.868   -30007.811       24.943  1005.0
0.0130       -29982.986   -30010.421       27.435  1105.4
0.0140       -29982.873   -30010.892       28.019  1129.0
0.0150       -29982.784   -30010.752       27.968  1126.9
0.0160       -29982.803   -30011.454       28.651  1154.5
0.0170       -29982.863   -30012.802       29.938  1206.3
0.0180       -29982.880   -30013.840       30.960  1247.5
0.0190       -29982.785   -30014.297       31.511  1269.7
0.0200       -29982.793   -30015.220       32.427  1306.6
0.0210       -29982.907   -30016.364       33.457  1348.1
0.0220       -29982.893   -30016.253       33.360  1344.2
0.0230       -29982.803   -30015.167       32.365  1304.1
0.0240       -29982.796   -30014.486       31.689  1276.9
0.0250       -29982.823   -30014.507       31.684  1276.7
0.0260       -29982.851   -30014.828       31.978  1288.5
0.0270       -29982.826   -30015.015       32.189  1297.0
0.0280       -29982.794   -30015.302       32.509  1309.9
0.0290       -29982.829   -30016.013       33.184  1337.1
0.0300       -29982.886   -30016.607       33.720  1358.7
0.0310       -29982.858   -30016.375       33.517  1350.5
0.0320       -29982.802   -30015.787       32.985  1329.1
0.0330       -29982.798   -30015.720       32.922  1326.5
0.0340       -29982.827   -30016.287       33.460  1348.2
0.0350       -29982.829   -30017.051       34.222  1378.9
0.0360       -29982.803   -30017.897       35.095  1414.1
0.0370       -29982.841   -30018.993       36.152  1456.7
0.0380       -29982.877   -30019.775       36.898  1486.7
0.0390       -29982.860   -30019.773       36.913  1487.4
0.0400       -29982.847   -30019.256       36.409  1467.1
0.0410       -29982.833   -30018.529       35.696  1438.3
0.0420       -29982.815   -30017.888       35.073  1413.2
0.0430       -29982.822   -30017.594       34.772  1401.1
0.0440       -29982.814   -30017.604       34.790  1401.8
0.0450       -29982.827   -30017.937       35.110  1414.7
0.0460       -29982.860   -30018.322       35.462  1428.9
0.0470       -29982.844   -30018.302       35.458  1428.7
0.0480       -29982.815   -30018.089       35.273  1421.3
0.0490       -29982.843   -30018.055       35.212  1418.8
0.0500       -29982.864   -30017.871       35.007  1410.6
0.0510       -29982.833   -30017.305       34.473  1389.0
0.0520       -29982.798   -30016.804       34.006  1370.2
0.0530       -29982.784   -30016.890       34.106  1374.2
0.0540       -29982.833   -30017.667       34.833  1403.6
0.0550       -29982.885   -30018.389       35.504  1430.6
0.0560       -29982.868   -30018.312       35.444  1428.2
0.0570       -29982.769   -30017.824       35.055  1412.5
