Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           7.9878       5.4819       2.5059   359.0
0.0010           7.9448       5.4743       2.4704   353.9
0.0020           7.9403       5.4507       2.4896   356.7
0.0030           7.9355       5.4092       2.5263   361.9
0.0040           7.9305       5.3472       2.5833   370.1
0.0050           7.9252       5.2612       2.6640   381.7
0.0060           7.9197       5.1475       2.7721   397.2
0.0070           7.9140       5.0021       2.9119   417.2
0.0080           7.9082       4.8210       3.0872   442.3
0.0090           7.9018       4.6007       3.3011   472.9
0.0100           7.8949       4.3383       3.5566   509.5
0.0110           7.8873       4.0316       3.8557   552.4
0.0120           7.8792       3.6795       4.1997   601.7
0.0130           7.8705       3.2822       4.5883   657.4
0.0140           7.8606       2.8413       5.0193   719.1
0.0150           7.8491       2.3604       5.4887   786.3
0.0160           7.8370       1.8451       5.9919   858.4
0.0170           7.8235       1.3024       6.5210   934.2
0.0180           7.8090       0.7413       7.0677  1012.6
0.0190           7.7931       0.1715       7.6216  1091.9
0.0200           7.7763      -0.3965       8.1727  1170.9
0.0210           7.7584      -0.9522       8.7106  1247.9
0.0220           7.7398      -1.4863       9.2261  1321.8
0.0230           7.7202      -1.9912       9.7114  1391.3
0.0240           7.6998      -2.4619      10.1617  1455.8
0.0250           7.6799      -2.8963      10.5762  1515.2
0.0260           7.6585      -3.2951      10.9536  1569.3
0.0270           7.6368      -3.6603      11.2971  1618.5
0.0280           7.6140      -3.9952      11.6091  1663.2
0.0290           7.5900      -4.3019      11.8919  1703.7
0.0300           7.5661      -4.5810      12.1471  1740.3
0.0310           7.5413      -4.8305      12.3718  1772.5
0.0320           7.5156      -5.0462      12.5618  1799.7
0.0330           7.4900      -5.2228      12.7128  1821.3
0.0340           7.4647      -5.3560      12.8207  1836.8
0.0350           7.4393      -5.4447      12.8840  1845.8
0.0360           7.4138      -5.4914      12.9052  1848.9
0.0370           7.3881      -5.5012      12.8894  1846.6
0.0380           7.3631      -5.4797      12.8428  1839.9
0.0390           7.3382      -5.4306      12.7688  1829.3
0.0400           7.3130      -5.3554      12.6684  1815.0
0.0410           7.2883      -5.2537      12.5420  1796.8
0.0420           7.2637      -5.1255      12.3891  1774.9
0.0430           7.2398      -4.9732      12.2130  1749.7
0.0440           7.2176      -4.8033      12.0209  1722.2
0.0450           7.1947      -4.6253      11.8199  1693.4
0.0460           7.1727      -4.4491      11.6218  1665.0
0.0470           7.1510      -4.2825      11.4334  1638.0
0.0480           7.1289      -4.1289      11.2579  1612.9
0.0490           7.1074      -3.9880      11.0953  1589.6
0.0500           7.0856      -3.8564      10.9420  1567.6
0.0510           7.0642      -3.7304      10.7947  1546.5
0.0520           7.0427      -3.6065      10.6492  1525.7
0.0530           7.0220      -3.4815      10.5035  1504.8
0.0540           7.0016      -3.3533      10.3549  1483.5
0.0550           6.9819      -3.2206      10.2025  1461.7
0.0560           6.9627      -3.0846      10.0473  1439.4
0.0570           6.9439      -2.9497       9.8937  1417.4
0.0580           6.9255      -2.8221       9.7475  1396.5
0.0590           6.9068      -2.7086       9.6154  1377.6
0.0600           6.8889      -2.6153       9.5042  1361.6
0.0610           6.8709      -2.5465       9.4174  1349.2
0.0620           6.8528      -2.5043       9.3571  1340.6
0.0630           6.8348      -2.4884       9.3231  1335.7
0.0640           6.8159      -2.4958       9.3117  1334.0
0.0650           6.7970      -2.5213       9.3182  1335.0
0.0660           6.7778      -2.5582       9.3359  1337.5
0.0670           6.7595      -2.6008       9.3603  1341.0
0.0680           6.7411      -2.6460       9.3871  1344.8
0.0690           6.7236      -2.6943       9.4179  1349.3
0.0700           6.7057      -2.7495       9.4552  1354.6
0.0710           6.6874      -2.8172       9.5045  1361.7
0.0720           6.6684      -2.9029       9.5712  1371.2
0.0730           6.6495      -3.0100       9.6595  1383.9
0.0740           6.6298      -3.1388       9.7686  1399.5
0.0750           6.6096      -3.2856       9.8952  1417.6
0.0760           6.5888      -3.4431      10.0319  1437.2
0.0770           6.5682      -3.6019      10.1701  1457.0
0.0780           6.5471      -3.7513      10.2984  1475.4
0.0790           6.5258      -3.8813      10.4072  1491.0
0.0800           6.5044      -3.9829      10.4873  1502.5
0.0810           6.4828      -4.0484      10.5312  1508.8
0.0820           6.4622      -4.0722      10.5344  1509.2
0.0830           6.4415      -4.0517      10.4932  1503.3
0.0840           6.4216      -3.9898      10.4114  1491.6
0.0850           6.4026      -3.8956      10.2982  1475.4
0.0860           6.3842      -3.7848      10.1690  1456.9
0.0870           6.3661      -3.6768      10.0429  1438.8
0.0880           6.3484      -3.5914       9.9398  1424.0
0.0890           6.3302      -3.5458       9.8760  1414.9
0.0900           6.3112      -3.5525       9.8637  1413.1
0.0910           6.2915      -3.6178       9.9093  1419.7
0.0920           6.2712      -3.7415      10.0128  1434.5
0.0930           6.2506      -3.9169      10.1674  1456.6
0.0940           6.2292      -4.1308      10.3600  1484.2
0.0950           6.2063      -4.3662      10.5725  1514.7
0.0960           6.1833      -4.6045      10.7878  1545.5
0.0970           6.1602      -4.8283      10.9885  1574.3
0.0980           6.1374      -5.0228      11.1603  1598.9
0.0990           6.1144      -5.1767      11.2912  1617.6
0.1000           6.0912      -5.2814      11.3726  1629.3
0.1010           6.0691      -5.3315      11.4006  1633.3
0.1020           6.0468      -5.3251      11.3719  1629.2
0.1030           6.0254      -5.2649      11.2903  1617.5
0.1040           6.0046      -5.1588      11.1635  1599.3
0.1050           5.9844      -5.0195      11.0039  1576.5
0.1060           5.9645      -4.8617      10.8262  1551.0
0.1070           5.9450      -4.7000      10.6450  1525.1
0.1080           5.9255      -4.5463      10.4718  1500.3
0.1090           5.9054      -4.4085      10.3139  1477.6
